|  5460954 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:03:04 | az13077 |           1 |
|  5460955 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:03:34 | az13077 |           1 |
|  5460956 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:04:05 | az13077 |           1 |
|  5460957 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:04:35 | az13077 |           1 |
|  5460958 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:05:05 | az13077 |           1 |
|  5460959 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:05:36 | az13077 |           1 |
|  5460960 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:06:06 | az13077 |           1 |
|  5460961 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:06:37 | az13077 |           1 |
|  5460962 | {"raw":[{"data":{"PM2.5":"1","PM10":"1","PM1.0":"1"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:07:08 | az13077 |           1 |
|  5460963 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:07:38 | az13077 |           1 |
|  5460964 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:08:08 | az13077 |           1 |
|  5460965 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:08:39 | az13077 |           1 |
|  5460966 | {"raw":[{"data":{"PM2.5":"1","PM10":"1","PM1.0":"1"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:09:09 | az13077 |           1 |
|  5460967 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:09:40 | az13077 |           1 |
|  5460968 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:10:10 | az13077 |           1 |
|  5460969 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:10:41 | az13077 |           1 |
|  5460970 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:11:11 | az13077 |           1 |
|  5460971 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:11:41 | az13077 |           1 |
|  5460972 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:12:11 | az13077 |           1 |
|  5460973 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:12:42 | az13077 |           1 |
|  5460974 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:13:12 | az13077 |           1 |
|  5460975 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:13:42 | az13077 |           1 |
|  5460976 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:14:12 | az13077 |           1 |
|  5460977 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:14:43 | az13077 |           1 |
|  5460978 | {"raw":[{"data":{"PM2.5":"11","PM10":"11","PM1.0":"0"},"id":"NIDS_DUST2"}]}  | 2021-03-01 17:15:14 | az13077 |           1 |
|  5460979 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:15:44 | az13077 |           1 |
|  5460980 | {"raw":[{"data":{"PM2.5":"1","PM10":"1","PM1.0":"1"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:16:14 | az13077 |           1 |
|  5460981 | {"raw":[{"data":{"PM2.5":"1","PM10":"1","PM1.0":"1"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:16:44 | az13077 |           1 |
|  5460982 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:17:15 | az13077 |           1 |
|  5460983 | {"raw":[{"data":{"PM2.5":"1","PM10":"1","PM1.0":"1"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:17:45 | az13077 |           1 |
|  5460984 | {"raw":[{"data":{"PM2.5":"2","PM10":"11","PM1.0":"2"},"id":"NIDS_DUST2"}]}   | 2021-03-01 17:18:15 | az13077 |           1 |
|  5460985 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:18:46 | az13077 |           1 |
|  5460986 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:19:17 | az13077 |           1 |
|  5460987 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:19:48 | az13077 |           1 |
|  5460988 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:20:18 | az13077 |           1 |
|  5460989 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:20:48 | az13077 |           1 |
|  5460990 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:21:18 | az13077 |           1 |
|  5460991 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:21:49 | az13077 |           1 |
|  5460992 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:22:19 | az13077 |           1 |
|  5460993 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:22:49 | az13077 |           1 |
|  5460994 | {"raw":[{"data":{"PM2.5":"0","PM10":"9","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:23:19 | az13077 |           1 |
|  5460995 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:23:50 | az13077 |           1 |
|  5460996 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:24:21 | az13077 |           1 |
|  5460997 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:24:51 | az13077 |           1 |
|  5460998 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:25:21 | az13077 |           1 |
|  5460999 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:25:51 | az13077 |           1 |
|  5461000 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:26:22 | az13077 |           1 |
|  5461001 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:26:53 | az13077 |           1 |
|  5461002 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:27:23 | az13077 |           1 |
|  5461003 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:27:53 | az13077 |           1 |
|  5461004 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:28:24 | az13077 |           1 |
|  5461005 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:28:54 | az13077 |           1 |
|  5461006 | {"raw":[{"data":{"PM2.5":"1","PM10":"1","PM1.0":"1"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:29:24 | az13077 |           1 |
|  5461007 | {"raw":[{"data":{"PM2.5":"1","PM10":"1","PM1.0":"1"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:29:54 | az13077 |           1 |
|  5461008 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:30:25 | az13077 |           1 |
|  5461009 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:30:55 | az13077 |           1 |
|  5461010 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:31:25 | az13077 |           1 |
|  5461011 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:31:55 | az13077 |           1 |
|  5461012 | {"raw":[{"data":{"PM2.5":"0","PM10":"0","PM1.0":"0"},"id":"NIDS_DUST2"}]}    | 2021-03-01 17:32:26 | az13077 |           1 |
